timestamp,hour,day_of_week,is_weekend,week_of_month,season,cell_type,cell_capacity_mb,traffic_load_mb,user_activity,network_utilization_pct,throughput_mbps,latency_ms,packet_loss_pct,sinr_db,congestion_flag,traditional_resource_allocation_mb,optimal_resource_allocation_mb
2024-01-01 00:00:00,0,0,0,0,0,urban_high_density,406.18,405.83,406.43,99.91,16.65,132.17,3.34,4.84,0,271.47,308.78
2024-01-01 00:15:00,0,0,0,0,0,urban_high_density,441.78,148.8,154.14,33.68,108.09,29.22,0.09,21.72,0,294.69,106.1
2024-01-01 00:30:00,0,0,0,0,0,urban_high_density,494.84,202.9,158.41,41.0,96.03,37.12,0.05,17.81,0,354.43,154.68
2024-01-01 00:45:00,0,0,0,0,0,urban_high_density,495.44,438.41,496.55,88.49,48.15,112.83,3.4,10.69,0,339.71,331.52
2024-01-01 01:00:00,1,0,0,0,0,urban_high_density,371.14,411.72,436.68,110.94,13.64,200.0,1.72,4.49,1,264.37,371.14
2024-01-01 01:15:00,1,0,0,0,0,urban_high_density,459.44,275.67,272.51,60.0,97.32,75.06,0.14,15.24,0,318.28,194.37
2024-01-01 01:30:00,1,0,0,0,0,urban_high_density,354.71,264.51,233.43,74.57,53.84,79.59,1.31,17.83,0,236.28,234.34
2024-01-01 01:45:00,1,0,0,0,0,urban_high_density,470.55,230.54,243.04,48.99,92.66,50.17,0.05,19.33,0,346.36,161.7
2024-01-01 02:00:00,2,0,0,0,0,urban_high_density,412.61,184.31,133.04,44.67,99.26,30.58,0.0,21.25,0,280.61,139.52
2024-01-01 02:15:00,2,0,0,0,0,urban_high_density,357.72,265.06,225.75,74.1,57.19,76.88,1.04,19.33,0,255.14,219.13
2024-01-01 02:30:00,2,0,0,0,0,urban_high_density,363.54,309.04,138.99,85.01,55.45,95.6,2.85,10.65,0,242.64,259.03
2024-01-01 02:45:00,2,0,0,0,0,urban_high_density,488.7,351.7,263.66,71.97,53.68,69.95,1.4,19.18,0,334.72,297.26
2024-01-01 03:00:00,3,0,0,0,0,urban_high_density,483.06,255.08,115.87,52.8,89.19,42.38,0.19,16.52,0,347.41,211.82
2024-01-01 03:15:00,3,0,0,0,0,urban_high_density,398.81,432.81,179.43,108.52,17.21,200.0,3.26,7.58,1,284.4,398.81
2024-01-01 03:30:00,3,0,0,0,0,urban_high_density,436.54,286.59,153.14,65.65,89.73,70.42,0.44,14.33,0,325.95,255.85
2024-01-01 03:45:00,3,0,0,0,0,urban_high_density,477.67,156.02,129.96,32.66,114.1,33.09,0.07,23.62,0,345.87,130.96
2024-01-01 04:00:00,4,0,0,0,0,urban_high_density,403.92,278.19,241.35,68.87,89.35,76.86,0.24,13.91,0,294.69,244.25
2024-01-01 04:15:00,4,0,0,0,0,urban_high_density,436.74,163.31,135.27,37.39,104.38,39.58,0.01,22.91,0,293.31,134.67
2024-01-01 04:30:00,4,0,0,0,0,urban_high_density,357.75,297.96,204.9,83.29,58.61,89.89,1.46,14.86,0,235.35,210.08
2024-01-01 04:45:00,4,0,0,0,0,urban_high_density,411.34,188.44,160.42,45.81,110.79,42.07,0.02,25.79,0,292.54,147.72
2024-01-01 05:00:00,5,0,0,0,0,urban_high_density,403.4,220.31,129.63,54.62,89.27,50.27,0.35,17.76,0,279.71,171.78
2024-01-01 05:15:00,5,0,0,0,0,urban_high_density,406.19,361.4,195.47,88.97,40.62,113.23,3.75,12.58,0,287.4,281.04
2024-01-01 05:30:00,5,0,0,0,0,urban_high_density,418.74,253.39,170.6,60.51,91.45,57.16,0.45,20.34,0,301.35,209.24
2024-01-01 05:45:00,5,0,0,0,0,urban_high_density,392.31,271.89,227.14,69.31,77.18,80.41,0.46,14.82,0,284.6,195.93
2024-01-01 06:00:00,6,0,0,0,0,urban_high_density,425.79,486.47,554.49,114.25,19.81,200.0,4.13,9.02,1,290.76,425.79
2024-01-01 06:15:00,6,0,0,0,0,urban_high_density,363.68,412.11,290.92,113.32,19.94,200.0,1.78,7.95,1,266.28,363.68
2024-01-01 06:30:00,6,0,0,0,0,urban_high_density,362.73,367.27,403.3,101.25,30.1,186.31,3.14,10.72,1,253.64,362.73
2024-01-01 06:45:00,6,0,0,0,0,urban_high_density,461.91,522.09,303.29,113.03,31.81,200.0,3.94,7.56,1,324.4,461.91
2024-01-01 07:00:00,7,0,0,0,0,urban_high_density,418.18,457.08,296.91,109.3,12.03,200.0,4.95,9.16,1,275.07,418.18
2024-01-01 07:15:00,7,0,0,0,0,urban_high_density,396.43,445.34,532.56,112.34,25.23,200.0,2.03,6.69,1,289.81,396.43
2024-01-01 07:30:00,7,0,0,0,0,urban_high_density,439.12,457.13,184.65,104.1,31.52,200.0,2.37,5.98,1,326.91,439.12
2024-01-01 07:45:00,7,0,0,0,0,urban_high_density,493.11,519.6,259.57,105.37,35.47,200.0,2.91,12.39,1,348.18,493.11
2024-01-01 08:00:00,8,0,0,0,0,urban_high_density,370.1,370.91,245.7,100.22,24.98,200.0,4.24,14.84,1,253.46,370.1
2024-01-01 08:15:00,8,0,0,0,0,urban_high_density,479.35,497.92,381.95,103.87,23.74,200.0,2.03,9.0,1,317.76,479.35
2024-01-01 08:30:00,8,0,0,0,0,urban_high_density,370.82,380.41,203.83,102.58,16.42,192.21,3.11,7.82,1,244.32,370.82
2024-01-01 08:45:00,8,0,0,0,0,urban_high_density,425.51,430.73,489.3,101.23,29.03,189.34,2.79,6.07,1,297.2,425.51
2024-01-01 09:00:00,9,0,0,0,0,urban_high_density,419.38,452.85,238.99,107.98,18.11,200.0,2.63,6.46,1,288.42,419.38
2024-01-01 09:15:00,9,0,0,0,0,urban_high_density,367.96,395.48,234.11,107.48,30.94,200.0,3.5,6.5,1,252.54,367.96
